date/time,latitude,longitude,speed,trip,distance,boat
7:00:29 AM,31.611108,-114.498415,14.18,0,176.2,GPS_20120105_134729
7:00:39 AM,31.609905,-114.498255,13.04,0,173.4,GPS_20120105_134729
7:00:49 AM,31.608688,-114.498058,13.87,0,172.5,GPS_20120105_134729
7:00:59 AM,31.60744,-114.497902,13.83,0,173.3,GPS_20120105_134729
7:01:09 AM,31.606232,-114.497743,13.67,0,172.8,GPS_20120105_134729
7:01:19 AM,31.604983,-114.497567,13.64,0,172,GPS_20120105_134729
7:01:29 AM,31.6038,-114.497342,13.67,0,170.8,GPS_20120105_134729
7:01:39 AM,31.602583,-114.497163,13.93,0,172.9,GPS_20120105_134729
7:01:49 AM,31.601348,-114.496988,13.75,0,171.3,GPS_20120105_134729
7:01:59 AM,31.600148,-114.496763,13.07,0,172.8,GPS_20120105_134729
7:02:09 AM,31.599005,-114.496552,12.84,0,168.9,GPS_20120105_134729
7:02:19 AM,31.59795,-114.4963,11.37,0,168.1,GPS_20120105_134729
7:02:29 AM,31.59685,-114.496202,12.35,0,177.7,GPS_20120105_134729
7:02:39 AM,31.595755,-114.496198,12,0,179.9,GPS_20120105_134729
7:02:49 AM,31.594665,-114.496228,11.88,0,179.9,GPS_20120105_134729
7:02:59 AM,31.59361,-114.496233,11.64,0,179.3,GPS_20120105_134729
7:03:09 AM,31.592567,-114.496215,11.92,0,178.5,GPS_20120105_134729
7:03:19 AM,31.591508,-114.496213,11.85,0,177.3,GPS_20120105_134729
7:03:29 AM,31.590395,-114.496243,12.72,0,180.2,GPS_20120105_134729
7:03:39 AM,31.589247,-114.496223,12.76,0,177.5,GPS_20120105_134729
7:03:49 AM,31.588143,-114.49619,11.8,0,176,GPS_20120105_134729
7:03:59 AM,31.587078,-114.496143,12.16,0,177.1,GPS_20120105_134729
7:04:09 AM,31.586052,-114.496048,10.78,0,178,GPS_20120105_134729
7:04:19 AM,31.585055,-114.495952,11.53,0,176.7,GPS_20120105_134729
7:04:29 AM,31.584015,-114.495822,11.87,0,172.8,GPS_20120105_134729
