date/time,latitude,longitude,speed,trip,distance,boat
9/10/15 16:49,32.87015,-117.25158,1.87052,1,37,landshark
9/10/15 16:49,32.87013,-117.25159,1.74088,1,35,landshark
9/10/15 16:49,32.87009,-117.25132,10.35268,1,59,landshark
9/10/15 16:49,32.87006,-117.25156,1.68532,1,37,landshark
9/10/15 16:49,32.87011,-117.25134,0.61116,1,58,landshark
9/10/15 16:50,32.87013,-117.25127,2.20388,1,64,landshark
9/10/15 16:50,32.87019,-117.25116,2.6854,1,76,landshark
9/10/15 16:50,32.87017,-117.25117,2.66688,1,74,landshark
9/10/15 16:50,32.87019,-117.25113,1.14824,1,78,landshark
9/10/15 16:50,32.8702,-117.25114,1.55568,1,77,landshark
9/10/15 16:51,32.8702,-117.25115,0.85192,1,76,landshark
9/10/15 16:51,32.87019,-117.25117,2.16684,1,74,landshark
9/10/15 16:51,32.8702,-117.25117,1.0186,1,74,landshark
9/10/15 16:51,32.87023,-117.2514,2.07424,1,55,landshark
9/10/15 16:51,32.87026,-117.25126,0.79636,1,69,landshark
9/10/15 16:52,32.87012,-117.2519,0.98156,1,11,landshark
9/10/15 16:52,32.87015,-117.25182,4.33368,1,17,landshark
9/10/15 16:52,32.87015,-117.25174,0.75932,1,23,landshark
9/10/15 16:52,32.87014,-117.25181,1.07416,1,17,landshark
9/10/15 16:52,32.87017,-117.25154,1.50012,1,41,landshark
9/10/15 16:53,32.87016,-117.25152,0.5556,1,42,landshark
9/10/15 16:53,32.87014,-117.25175,7.00056,1,22,landshark
9/10/15 16:53,32.87018,-117.25153,2.09276,1,42,landshark
9/10/15 16:53,32.8702,-117.25132,1.6668,1,61,landshark
9/10/15 16:53,32.87018,-117.25137,3.62992,1,57,landshark
9/10/15 16:54,32.87019,-117.2513,0.81488,1,63,landshark
9/10/15 16:54,32.87019,-117.25129,0.0926,1,64,landshark
9/10/15 16:54,32.87019,-117.25127,0.98156,1,65,landshark
9/10/15 16:54,32.87017,-117.25127,0.50004,1,65,landshark
9/10/15 16:54,32.87017,-117.25125,0.68524,1,67,landshark
9/10/15 16:55,32.87016,-117.25124,0.59264,1,68,landshark
9/10/15 16:55,32.87019,-117.25126,0.24076,1,67,landshark
9/10/15 16:55,32.87022,-117.25128,0.0926,1,65,landshark
9/10/15 16:55,32.87024,-117.25131,0.51856,1,63,landshark
9/10/15 16:55,32.87024,-117.25132,0.68524,1,63,landshark
9/10/15 16:56,32.87024,-117.25135,0.50004,1,59,landshark
9/10/15 16:56,32.87022,-117.25134,1.37048,1,60,landshark
9/10/15 16:56,32.87022,-117.25134,0.96304,1,60,landshark
9/10/15 16:56,32.87023,-117.25137,0.926,1,58,landshark
9/10/15 16:56,32.87026,-117.25143,1.03712,1,54,landshark
9/10/15 16:57,32.87028,-117.25146,0.25928,1,53,landshark
9/10/15 16:57,32.87026,-117.25151,0.44448,1,48,landshark
9/10/15 16:57,32.87024,-117.25156,1.31492,1,42,landshark
9/10/15 16:57,32.87022,-117.2515,1.14824,1,46,landshark
9/10/15 16:57,32.87019,-117.25151,1.55568,1,44,landshark
9/10/15 16:58,32.87018,-117.25152,1.09268,1,43,landshark
9/10/15 16:58,32.87014,-117.25133,0.51856,1,59,landshark
9/10/15 16:58,32.87016,-117.25133,2.20388,1,60,landshark
9/10/15 18:39,32.86977,-117.2515,5.72268,1,51,landshark
9/10/15 18:40,32.86953,-117.25184,0.38892,1,57,landshark
9/10/15 18:40,32.8696,-117.25159,4.79668,1,59,landshark
9/10/15 18:40,32.86957,-117.25167,0.5556,1,58,landshark
9/10/15 18:40,32.86957,-117.2517,0.40744,1,56,landshark
9/10/15 18:41,32.86959,-117.25163,0.87044,1,58,landshark
9/10/15 18:41,32.8702,-117.25162,37.46596,1,35,landshark
9/10/15 18:41,32.87093,-117.25136,41.07736,1,113,landshark
9/10/15 18:41,32.87075,-117.25037,41.05884,1,167,landshark
9/10/15 18:42,32.86962,-117.24975,43.11456,1,211,landshark
9/10/15 18:42,32.86913,-117.24891,32.2248,1,301,landshark
9/10/15 18:42,32.87104,-117.24783,39.09572,1,401,landshark
9/10/15 18:42,32.87132,-117.24765,3.53732,1,426,landshark
9/10/15 18:42,32.87156,-117.24702,38.7068,1,491,landshark
9/10/15 18:43,32.87187,-117.24582,37.42892,1,608,landshark
9/10/15 18:43,32.87286,-117.2453,47.28156,1,696,landshark
9/10/15 18:43,32.87532,-117.24419,34.262,1,933,landshark
9/10/15 18:43,32.87555,-117.24397,3.25952,1,965,landshark
9/10/15 18:44,32.87551,-117.24393,0.51856,1,965,landshark
9/10/15 18:44,32.87555,-117.24393,1.59272,1,967,landshark
9/10/15 18:44,32.87552,-117.24391,0.5556,1,967,landshark
9/10/15 18:44,32.87543,-117.2439,0.12964,1,962,landshark
9/10/15 18:45,32.87575,-117.24329,31.74328,1,1029,landshark
9/10/15 18:45,32.87663,-117.24349,50.91148,1,1078,landshark
9/10/15 18:45,32.87793,-117.24363,32.81744,1,1173,landshark
9/10/15 18:45,32.87814,-117.24304,34.1694,1,1226,landshark
9/10/15 18:45,32.87753,-117.24153,4.59296,1,1281,landshark
9/10/15 18:46,32.87748,-117.24152,1.44456,1,1278,landshark
9/10/15 22:30,33.51577,-117.15826,78.08032,1,72349,landshark
9/10/15 22:30,33.51699,-117.15909,76.70984,1,72475,landshark
9/10/15 22:31,33.51857,-117.16017,79.85825,1,72638,landshark
9/10/15 22:31,33.52026,-117.16132,71.52424,1,72812,landshark
9/10/15 22:31,33.52169,-117.16228,63.0606,1,72960,landshark
9/10/15 22:31,33.52314,-117.16329,70.41304,1,73109,landshark
9/10/15 22:32,33.52744,-117.16613,85.71056,1,73555,landshark
9/10/15 22:32,33.52944,-117.16745,95.02612,1,73762,landshark
9/10/15 22:32,33.53172,-117.16895,106.97153,1,74001,landshark
9/10/15 22:33,33.53679,-117.17235,112.08304,1,74529,landshark
9/10/15 22:33,33.54568,-117.17825,119.95404,1,75461,landshark
9/10/15 22:33,33.54975,-117.18225,115.6574,1,75878,landshark
9/10/15 22:33,33.55111,-117.18452,123.12096,1,76012,landshark
9/10/15 22:35,33.57079,-117.21363,109.1754,1,78023,landshark
9/10/15 22:35,33.5723,-117.21565,115.4722,1,78182,landshark
9/10/15 22:36,33.57898,-117.22445,112.08304,1,78894,landshark
9/10/15 22:36,33.58053,-117.2265,113.65723,1,79061,landshark
9/10/15 22:36,33.58242,-117.22894,114.39804,1,79264,landshark
9/10/15 22:36,33.5843,-117.23152,116.213,1,79467,landshark
9/10/15 22:37,33.59152,-117.24068,113.7128,1,80255,landshark
9/10/15 22:37,33.59319,-117.24222,119.65772,1,80438,landshark
9/10/15 22:37,33.59539,-117.24424,105.87884,1,80681,landshark
9/10/15 22:37,33.59754,-117.2463,113.97208,1,80918,landshark
9/10/15 22:38,33.59972,-117.24829,109.4532,1,81160,landshark
9/10/15 22:38,33.60763,-117.25552,108.11976,1,82040,landshark
9/10/15 23:17,34.09488,-117.57571,43.02196,1,139506,landshark
9/10/15 23:17,34.09595,-117.57571,59.48624,1,139622,landshark
9/10/15 23:17,34.0973,-117.57571,50.5596,1,139768,landshark
9/10/15 23:17,34.0985,-117.57573,47.63344,1,139899,landshark
9/10/15 23:17,34.09903,-117.57576,7.63024,1,139957,landshark
9/10/15 23:18,34.09904,-117.57575,0.20372,1,139958,landshark
